,precision,recall,f1-score,support
normal,0.8963325183374083,0.9665172686527814,0.9301027527591018,3793.0
abuse,0.2222222222222222,0.2222222222222222,0.2222222222222222,9.0
arrest,0.18181818181818182,0.2857142857142857,0.2222222222222222,7.0
arson,0.4,0.3076923076923077,0.34782608695652173,13.0
assault,0.09090909090909091,0.16666666666666666,0.11764705882352941,6.0
burglary,0.47619047619047616,0.3448275862068966,0.4,29.0
explosion,0.25,0.15384615384615385,0.19047619047619047,26.0
fighting,0.3333333333333333,0.07692307692307693,0.125,13.0
road accident,0.22857142857142856,0.5161290322580645,0.31683168316831684,31.0
robbery,0.1794871794871795,0.30434782608695654,0.22580645161290322,23.0
shooting,0.45,0.18,0.2571428571428571,50.0
shoplifting,0.2222222222222222,0.08333333333333333,0.12121212121212122,24.0
stealing,0.14285714285714285,0.15384615384615385,0.14814814814814814,13.0
vandalism,0.0,0.0,0.0,15.0
violence,0.9785522788203753,0.9162482884527613,0.9463759575721862,4382.0
accuracy,0.917832582404553,0.917832582404553,0.917832582404553,0.917832582404553
macro avg,0.3368330716512708,0.31188761346011074,0.30473425015442135,8434.0
weighted avg,0.9203664645968829,0.917832582404553,0.9170698643046453,8434.0
