,pred_normal,pred_abuse,pred_arrest,pred_arson,pred_assault,pred_burglary,pred_explosion,pred_fighting,pred_road accident,pred_robbery,pred_shooting,pred_shoplifting,pred_stealing,pred_vandalism,pred_violence
true_normal,0.9425257052465067,0.0005272871078302136,0.0005272871078302136,0.0,0.0005272871078302136,0.0031637226469812814,0.0007909306617453203,0.0002636435539151068,0.006063801740047456,0.0018455048774057474,0.0,0.0005272871078302136,0.0031637226469812814,0.0002636435539151068,0.039810176641181125
true_abuse,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.2222222222222222,0.0
true_arrest,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0
true_arson,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.0,0.3076923076923077,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0
true_assault,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0
true_burglary,0.20689655172413793,0.0,0.0,0.10344827586206896,0.10344827586206896,0.20689655172413793,0.0,0.0,0.10344827586206896,0.10344827586206896,0.0,0.0,0.13793103448275862,0.034482758620689655,0.0
true_explosion,0.23076923076923078,0.0,0.038461538461538464,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.11538461538461539,0.0,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0
true_fighting,0.15384615384615385,0.07692307692307693,0.0,0.0,0.3076923076923077,0.07692307692307693,0.0,0.07692307692307693,0.0,0.23076923076923078,0.0,0.0,0.0,0.07692307692307693,0.0
true_road accident,0.2903225806451613,0.0,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.5161290322580645,0.03225806451612903,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0
true_robbery,0.21739130434782608,0.0,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.0,0.08695652173913043,0.2608695652173913,0.0,0.08695652173913043,0.08695652173913043,0.0,0.0
true_shooting,0.14,0.0,0.04,0.02,0.04,0.1,0.0,0.0,0.1,0.0,0.02,0.0,0.08,0.02,0.44
true_shoplifting,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.4583333333333333,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0
true_stealing,0.3076923076923077,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.15384615384615385,0.07692307692307693,0.0
true_vandalism,0.26666666666666666,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.3333333333333333,0.06666666666666667,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0
true_violence,0.051118210862619806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488817891373802
