,precision,recall,f1-score,support
normal,0.8312256809338522,0.901133667281835,0.8647691334598355,3793.0
abuse,0.0,0.0,0.0,9.0
arrest,0.0,0.0,0.0,7.0
arson,0.0,0.0,0.0,13.0
assault,0.0,0.0,0.0,6.0
burglary,0.5,0.034482758620689655,0.06451612903225806,29.0
explosion,0.0,0.0,0.0,26.0
fighting,0.0,0.0,0.0,13.0
road accident,0.45454545454545453,0.16129032258064516,0.23809523809523808,31.0
robbery,0.2727272727272727,0.2608695652173913,0.26666666666666666,23.0
shooting,0.0,0.0,0.0,50.0
shoplifting,0.0,0.0,0.0,24.0
stealing,0.125,0.3076923076923077,0.17777777777777778,13.0
vandalism,0.0,0.0,0.0,15.0
violence,0.8889934148635936,0.8626198083067093,0.8756080611535789,4382.0
accuracy,0.8553474033673227,0.8553474033673227,0.8553474033673227,0.8553474033673227
macro avg,0.2048327882046782,0.16853922864663853,0.16582886707902367,8434.0
weighted avg,0.8400399321885234,0.8553474033673227,0.8459426383395151,8434.0
