split,model_key,model_name,pooling,topk_k,video_auc,video_ap,segment_expanded_roc_auc_APPROX_not_frame_gt,num_parameters,trainable_parameters,checkpoint_path,best_epoch,best_val_auc_from_training,best_val_ap_from_training,repro_seed,torch_version,torchvision_version,feature_based_note
val,baseline_mil,Baseline MIL,topk,4.0,0.9317258076514706,0.9286319093399488,0.8512088870338298,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,29,0.9317258076514706,0.9286319093399488,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,baseline_mil,Baseline MIL,max,,0.9266714053146083,0.9237009640662442,0.8850882434784659,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,29,0.9317258076514706,0.9286319093399488,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,baseline_mil,Baseline MIL,topk,4.0,0.9304306703397612,0.9535889699139684,0.916641625520502,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,29,0.9317258076514706,0.9286319093399488,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,baseline_mil,Baseline MIL,max,,0.9261142102846647,0.9501876957672366,0.9210949465241938,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,29,0.9317258076514706,0.9286319093399488,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,attention_mil,Attention MIL,topk,4.0,0.9514373704421704,0.9517545160849039,0.9455033473595376,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,13,0.9514373704421704,0.9517545160849039,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,attention_mil,Attention MIL,max,,0.9484349052725155,0.9405511393359139,0.9456745925763168,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,13,0.9514373704421704,0.9517545160849039,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,attention_mil,Attention MIL,topk,4.0,0.955705463728191,0.9704570877790075,0.9562660268623204,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,13,0.9514373704421704,0.9517545160849039,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,attention_mil,Attention MIL,max,,0.9544556932966023,0.9659499053628137,0.9547404098765936,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,13,0.9514373704421704,0.9517545160849039,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,bigru_mil,BiGRU-MIL,topk,4.0,0.9458055619880215,0.9201926823042673,0.9398482432990825,1248513,1248513,/scratch/VAD/artifacts/metadata/mil_best_bigru.pth,26,0.9458055619880215,0.9201926823042673,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,bigru_mil,BiGRU-MIL,max,,0.9425500735399915,0.9129045345594254,0.9391098812083947,1248513,1248513,/scratch/VAD/artifacts/metadata/mil_best_bigru.pth,26,0.9458055619880215,0.9201926823042673,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,bigru_mil,BiGRU-MIL,topk,4.0,0.9286318870523416,0.9404768128563095,0.9255575623654476,1248513,1248513,/scratch/VAD/artifacts/metadata/mil_best_bigru.pth,26,0.9458055619880215,0.9201926823042673,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,bigru_mil,BiGRU-MIL,max,,0.9252486225895317,0.9359371915399676,0.9229981069685198,1248513,1248513,/scratch/VAD/artifacts/metadata/mil_best_bigru.pth,26,0.9458055619880215,0.9201926823042673,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
