,precision,recall,f1-score,support
normal,0.9273202614379085,0.9351436857368838,0.9312155421370438,3793.0
abuse,0.16666666666666666,0.2222222222222222,0.19047619047619047,9.0
arrest,0.08333333333333333,0.14285714285714285,0.10526315789473684,7.0
arson,0.29411764705882354,0.38461538461538464,0.3333333333333333,13.0
assault,0.11764705882352941,0.3333333333333333,0.17391304347826086,6.0
burglary,0.23333333333333334,0.2413793103448276,0.23728813559322035,29.0
explosion,0.38461538461538464,0.19230769230769232,0.2564102564102564,26.0
fighting,0.125,0.07692307692307693,0.09523809523809523,13.0
road accident,0.27450980392156865,0.45161290322580644,0.34146341463414637,31.0
robbery,0.14893617021276595,0.30434782608695654,0.2,23.0
shooting,0.0,0.0,0.0,50.0
shoplifting,0.25,0.041666666666666664,0.07142857142857142,24.0
stealing,0.12,0.23076923076923078,0.15789473684210525,13.0
vandalism,0.16666666666666666,0.26666666666666666,0.20512820512820512,15.0
violence,0.9547022303977926,0.9475125513464172,0.9510938036880082,4382.0
accuracy,0.9190182594261324,0.9190182594261324,0.9190182594261324,0.9190182594261324
macro avg,0.28312323709785153,0.3180905128734872,0.2833430990854782,8434.0
weighted avg,0.9186424795871807,0.9190182594261324,0.9182400833010661,8434.0
