clip_id,label,feature_path,num_segments
Spectre.2015__#01-56-13_01-57-08_label_B2-G-B1__1,1,/scratch/VAD/experiments/runs/vad_prodZain_seg32_both_3d_topkK4_lr0.0001_bs4_seed42_ep30_h076c5303_20260424_190953/processed/features_xd/Spectre.2015__#01-56-13_01-57-08_label_B2-G-B1__1.npy,32
v=U6GNhmLnjWU__#1_label_A__1,0,/scratch/VAD/experiments/runs/vad_prodZain_seg32_both_3d_topkK4_lr0.0001_bs4_seed42_ep30_h076c5303_20260424_190953/processed/features_xd/v=U6GNhmLnjWU__#1_label_A__1.npy,32
Salt.2010__#01-23-40_01-25-00_label_A__0,0,/scratch/VAD/experiments/runs/vad_prodZain_seg32_both_3d_topkK4_lr0.0001_bs4_seed42_ep30_h076c5303_20260424_190953/processed/features_xd/Salt.2010__#01-23-40_01-25-00_label_A__0.npy,32
v=hxyhulJYz5I__#00-03-12_00-04-15_label_B6-0-0__4,1,/scratch/VAD/experiments/runs/vad_prodZain_seg32_both_3d_topkK4_lr0.0001_bs4_seed42_ep30_h076c5303_20260424_190953/processed/features_xd/v=hxyhulJYz5I__#00-03-12_00-04-15_label_B6-0-0__4.npy,32
v=1jMf0RGRpnc__#1_label_A__4,0,/scratch/VAD/experiments/runs/vad_prodZain_seg32_both_3d_topkK4_lr0.0001_bs4_seed42_ep30_h076c5303_20260424_190953/processed/features_xd/v=1jMf0RGRpnc__#1_label_A__4.npy,32
Fast.Five.2011__#01-05-32_01-06-05_label_A__2,0,/scratch/VAD/experiments/runs/vad_prodZain_seg32_both_3d_topkK4_lr0.0001_bs4_seed42_ep30_h076c5303_20260424_190953/processed/features_xd/Fast.Five.2011__#01-05-32_01-06-05_label_A__2.npy,32
v=gHUZylSNA_U__#1_label_A__0,0,/scratch/VAD/experiments/runs/vad_prodZain_seg32_both_3d_topkK4_lr0.0001_bs4_seed42_ep30_h076c5303_20260424_190953/processed/features_xd/v=gHUZylSNA_U__#1_label_A__0.npy,32
The.Intouchables.2011__#00-01-45_00-02-50_label_A__1,0,/scratch/VAD/experiments/runs/vad_prodZain_seg32_both_3d_topkK4_lr0.0001_bs4_seed42_ep30_h076c5303_20260424_190953/processed/features_xd/The.Intouchables.2011__#00-01-45_00-02-50_label_A__1.npy,32
v=Jw8nhzDE57c__#1_label_A__3,0,/scratch/VAD/experiments/runs/vad_prodZain_seg32_both_3d_topkK4_lr0.0001_bs4_seed42_ep30_h076c5303_20260424_190953/processed/features_xd/v=Jw8nhzDE57c__#1_label_A__3.npy,32
Normal_Videos596_x264,0,/scratch/VAD/experiments/runs/vad_prodZain_seg32_both_3d_topkK4_lr0.0001_bs4_seed42_ep30_h076c5303_20260424_190953/processed/features_3d/Normal_Videos596_x264.npy,33
