split,model_key,model_name,pooling,topk_k,video_auc,video_ap,segment_expanded_roc_auc_APPROX_not_frame_gt,num_parameters,trainable_parameters,checkpoint_path,best_epoch,best_val_auc_from_training,best_val_ap_from_training,repro_seed,torch_version,torchvision_version,feature_based_note
val,baseline_mil,Baseline MIL,topk,4.0,0.9699204144137912,0.973070626808534,0.9699204144137912,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,24,0.9699204144137912,0.973070626808534,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,baseline_mil,Baseline MIL,max,,0.9628658240560342,0.9583558659624005,0.9628658240560342,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,24,0.9699204144137912,0.973070626808534,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,baseline_mil,Baseline MIL,topk,4.0,0.9588845333333333,0.9770250450759762,0.9588845333333333,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,24,0.9699204144137912,0.973070626808534,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,baseline_mil,Baseline MIL,max,,0.9540135999999999,0.9712282918037426,0.9540135999999999,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,24,0.9699204144137912,0.973070626808534,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,attention_mil,Attention MIL,topk,4.0,0.9411415081167562,0.936339685071761,0.9411415081167562,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,2,0.9411415081167562,0.936339685071761,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,attention_mil,Attention MIL,max,,0.9387351105269969,0.9265472184573214,0.9387351105269969,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,2,0.9411415081167562,0.936339685071761,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,attention_mil,Attention MIL,topk,4.0,0.9396476,0.9614190151333792,0.9396476,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,2,0.9411415081167562,0.936339685071761,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,attention_mil,Attention MIL,max,,0.9380668,0.9561808353147241,0.9380668,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,2,0.9411415081167562,0.936339685071761,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,bigru_mil,BiGRU-MIL,topk,4.0,0.9759357679118806,0.9684532416105571,0.9759357679118806,1248513,1248513,/scratch/VAD/artifacts/metadata/mil_best_bigru.pth,14,0.9759357679118806,0.9684532416105571,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,bigru_mil,BiGRU-MIL,max,,0.9726248896779557,0.9599001201139256,0.9726248896779557,1248513,1248513,/scratch/VAD/artifacts/metadata/mil_best_bigru.pth,14,0.9759357679118806,0.9684532416105571,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,bigru_mil,BiGRU-MIL,topk,4.0,0.9683375999999999,0.9779344612935826,0.9683375999999999,1248513,1248513,/scratch/VAD/artifacts/metadata/mil_best_bigru.pth,14,0.9759357679118806,0.9684532416105571,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,bigru_mil,BiGRU-MIL,max,,0.9653385333333334,0.9734886316389716,0.9653385333333334,1248513,1248513,/scratch/VAD/artifacts/metadata/mil_best_bigru.pth,14,0.9759357679118806,0.9684532416105571,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
