clip_id,label,feature_path,num_segments
Normal_Videos001_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos001_x264.npy,5
Shoplifting018_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Shoplifting018_x264.npy,25
Shoplifting021_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Shoplifting021_x264.npy,32
Normal_Videos796_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos796_x264.npy,32
Normal_Videos456_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos456_x264.npy,32
Normal_Videos086_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos086_x264.npy,32
Shoplifting052_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Shoplifting052_x264.npy,32
Shoplifting007_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Shoplifting007_x264.npy,32
Normal_Videos699_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos699_x264.npy,20
Normal_Videos430_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos430_x264.npy,9
Normal_Videos226_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos226_x264.npy,32
Normal_Videos760_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos760_x264.npy,21
Normal_Videos_251_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos_251_x264.npy,4
Abuse001_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Abuse001_x264.npy,32
Stealing113_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Stealing113_x264.npy,18
Normal_Videos140_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos140_x264.npy,21
Robbery068_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Robbery068_x264.npy,4
Assault018_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Assault018_x264.npy,3
Normal_Videos720_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos720_x264.npy,32
Assault012_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Assault012_x264.npy,8
Normal_Videos855_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos855_x264.npy,32
Normal_Videos163_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos163_x264.npy,32
Normal_Videos437_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos437_x264.npy,32
Shooting004_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Shooting004_x264.npy,21
Assault001_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Assault001_x264.npy,30
Explosion021_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Explosion021_x264.npy,8
Normal_Videos564_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos564_x264.npy,32
Arrest013_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Arrest013_x264.npy,13
Normal_Videos_452_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos_452_x264.npy,4
Robbery130_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Robbery130_x264.npy,22
Normal_Videos469_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos469_x264.npy,32
Robbery134_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Robbery134_x264.npy,6
Stealing066_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Stealing066_x264.npy,15
Burglary087_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Burglary087_x264.npy,26
Normal_Videos_798_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos_798_x264.npy,32
Burglary018_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Burglary018_x264.npy,13
Normal_Videos498_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos498_x264.npy,32
Normal_Videos_781_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos_781_x264.npy,32
Burglary026_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Burglary026_x264.npy,18
Shooting007_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Shooting007_x264.npy,16
Shoplifting033_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Shoplifting033_x264.npy,10
Normal_Videos072_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos072_x264.npy,11
Robbery023_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Robbery023_x264.npy,13
Stealing029_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Stealing029_x264.npy,4
Explosion015_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Explosion015_x264.npy,10
Arrest019_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Arrest019_x264.npy,16
Shooting051_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Shooting051_x264.npy,16
Burglary099_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Burglary099_x264.npy,15
Stealing054_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Stealing054_x264.npy,32
Normal_Videos_453_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos_453_x264.npy,32
Normal_Videos029_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos029_x264.npy,9
Normal_Videos259_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos259_x264.npy,25
Stealing103_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Stealing103_x264.npy,32
Normal_Videos_360_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos_360_x264.npy,11
Normal_Videos536_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos536_x264.npy,32
Normal_Videos154_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos154_x264.npy,8
RoadAccidents017_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/RoadAccidents017_x264.npy,2
Stealing003_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Stealing003_x264.npy,32
Robbery049_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Robbery049_x264.npy,23
Robbery136_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Robbery136_x264.npy,12
Normal_Videos613_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos613_x264.npy,32
Normal_Videos459_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos459_x264.npy,32
Normal_Videos221_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos221_x264.npy,26
Normal_Videos646_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos646_x264.npy,32
Arrest009_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Arrest009_x264.npy,20
Normal_Videos038_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos038_x264.npy,32
Shoplifting054_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Shoplifting054_x264.npy,11
RoadAccidents061_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/RoadAccidents061_x264.npy,7
Stealing084_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Stealing084_x264.npy,32
Robbery120_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Robbery120_x264.npy,11
Robbery042_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Robbery042_x264.npy,26
RoadAccidents147_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/RoadAccidents147_x264.npy,32
Stealing046_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Stealing046_x264.npy,32
Normal_Videos843_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos843_x264.npy,4
RoadAccidents076_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/RoadAccidents076_x264.npy,28
Abuse022_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Abuse022_x264.npy,32
Normal_Videos351_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos351_x264.npy,32
Normal_Videos377_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos377_x264.npy,32
Normal_Videos615_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos615_x264.npy,32
Normal_Videos384_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos384_x264.npy,27
Burglary096_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Burglary096_x264.npy,32
Normal_Videos528_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos528_x264.npy,14
Stealing107_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Stealing107_x264.npy,32
Normal_Videos451_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos451_x264.npy,25
Explosion006_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Explosion006_x264.npy,23
Stealing037_x264,1,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Stealing037_x264.npy,32
Normal_Videos_909_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos_909_x264.npy,9
Normal_Videos_576_x264,0,/scratch/VAD/experiments/runs/vad_prod_ucf_fusion_fresh_seg32_ucf_fusion_topkK4_lr1e-05_bs4_seed42_ep30_h0acae716_20260420_142611/processed/features_fusion/Normal_Videos_576_x264.npy,32
